id,Python,Ruby,Rails,ML
1057938935492431873,0,0,0,0
877714093687193600,0,0,0,0
808543250344574976,0,0,0,0
1019394610894786560,0,0,0,0
4091079493,0,0,0,0
107968244,0,0,0,0
454839973,0,0,0,0
1035822531834343424,1,0,0,0
1042288744789815296,0,0,0,0
1056801615431131136,0,0,0,0
113568515,0,0,0,0
1056566410569179137,0,0,0,0
872654532081098752,0,0,0,1
1056113389015986176,0,0,0,0
136973686,0,0,0,0
972813598861885441,1,1,0,0
930285679879233536,0,0,0,0
84010477,0,0,0,0
1039081543673700352,0,1,1,1
1055420033784983552,0,0,0,0
3244360489,0,0,0,0
849242982876303362,1,0,0,0
3172224295,0,0,0,0
712247345061060609,0,0,0,0
6966582,0,0,0,0
1054524600359342081,0,0,0,0
391437208,0,0,0,0
714379687993016320,0,0,0,0
919224271834038272,0,0,0,0
1052179514577440768,0,0,0,0
1053607503764717568,0,0,0,0
1017049752544768000,0,0,0,0
1028931283710226432,0,0,0,0
441504353,0,0,0,0
825533883542167552,0,0,0,0
1034363855650975744,1,0,0,0
1031539369742458881,1,0,0,0
1113783060,0,0,0,0
991959119295758336,0,0,0,0
1043526876000468992,0,0,0,0
1043527623077388288,0,0,0,0
919931086691373056,0,0,0,0
117370051,0,0,0,0
1051177762671611904,0,0,0,0
1051096723274133506,0,0,0,0
221355944,0,0,0,0
74073109,0,0,0,0
838706250917433344,1,0,0,0
794412521625006080,0,0,0,0
866510414044999681,0,0,0,0
1042307678943436801,0,0,0,0
1049825410630877184,0,0,0,0
1049326094984216577,0,0,0,0
1050058729582809088,1,0,0,0
1047769741698379776,0,0,0,0
999567527117123584,0,0,0,0
1049878262929915904,0,0,0,0
64434576,0,0,0,0
1042296499999170560,0,0,0,0
835087833547169793,0,0,0,0
215262866,0,0,0,0
1008306094043643904,0,0,0,0
101181726,0,0,0,0
1049249768264720384,0,0,0,0
249117379,0,0,0,0
2483731298,0,0,0,0
954987394410823681,0,0,0,0
1048750815127601153,0,0,0,0
157371897,0,0,0,0
1048477362503839744,0,0,0,0
1048448799721500672,0,0,0,0
1048229892221882369,0,0,0,0
861946612569972736,0,0,0,0
1048101990272708608,0,0,0,1
340699890,0,0,0,0
133257671,0,0,0,0
974195067115024384,1,0,0,0
157012683,0,1,0,0
1047664099499200513,0,0,0,0
99087430,1,0,0,0
1014930702788321281,0,1,0,0
1047095311481561088,1,0,0,0
1046612414630772736,0,0,0,0
1047051076187435009,1,0,0,0
925014284324581377,0,0,0,0
1046508807549939713,0,0,0,0
1015927502076665856,0,0,0,0
1310332609,0,0,0,0
839707301682429952,1,0,0,0
1046383807983628290,0,0,0,0
1046332119679557632,0,0,0,0
1046321852908339200,0,0,0,0
4788417685,0,0,0,0
1039154412361375744,0,0,0,0
1907559488,0,0,0,0
922727039714525184,0,0,0,0
4356680714,0,0,0,0
1029705068835102720,0,0,0,0
